	Inh_L6_LAMP5_C1QL2	Exc_L3_5_LINC00507_SLN	Inh_L1_SST_CXCL14	Inh_L1_2_VIP_PPAPDC1A	Exc_L6_FEZF2_CPZ	Exc_L4_5_RORB_HNRNPA1P46	Exc_L6_THEMIS_C6orf48	Inh_L3_5_SST_MAFB	Exc_L4_5_RORB_LCN15	Inh_L1_VIP_TNFAIP8L3	Exc_L5_6_FEZF2_CYP26B1	Exc_L6_THEMIS_EGR3	Inh_L4_6_SST_MTHFD2P6	Exc_L5_6_RORB_LINC00320	Oligo_L4_6_MOBP_COL18A1	Inh_L1_VIP_PCDH20	K1	Inh_L1_2_PAX6_SCGN	Exc_L6_FEZF2_FAM95C	Inh_L5_6_SST_TH	Exc_L4_5_RORB_RPL31P31	Exc_L6_FEZF2_TBCC	Astro_L1_FGFR3_FOS	Exc_L4_5_RORB_AIM2	Inh_L3_4_PVALB_HOMER3	Exc_L5_6_THEMIS_GPR21	VLMC_L1_3_CYP1B1	Exc_L2_4_RORB_GRIK1	Exc_L5_6_THEMIS_IL7R	Inh_L3_VIP_CBLN1	Exc_L4_6_RORB_HPCA	Exc_L4_RORB_CACNG5	Exc_L3_4_RORB_FOLH1B	Inh_L1_6_PVALB_SCUBE3	Inh_L5_6_LAMP5_SFTA3	Inh_L1_6_VIP_RCN1	Exc_L5_6_FEZF2_RSAD2	Exc_L3_5_THEMIS_UBE2F	Exc_L2_3_LINC00507_RPL9P17	Exc_L3_5_FEZF2_ONECUT1	Astro_L1_6_FGFR3_ETNPPL	MP	Inh_L5_PVALB_CNTNAP3P2	Exc_L6_FEZF2_VWA2	Inh_L1_6_LAMP5_CA13	Inh_L1_3_VIP_SSTR1	Inh_L5_6_SST_ISOC1	Exc_L3_THEMIS_PLA2G7	Inh_L1_3_VIP_ZNF322P1	Inh_L2_4_VIP_LGI2	Exc_L5_6_THEMIS_THTPA	Inh_L1_4_LAMP5_DUSP4	Exc_L6_THEMIS_LINC00343	GABA3	Inh_L1_6_VIP_RGS16	Exc_L6_FEZF2_P4HA3	Inh_L1_4_VIP_CHRNA2	Inh_L1_3_PAX6_NABP1	Inh_L1_3_VIP_CCDC184	Inh_L1_VIP_SOX11	Exc_L3_LINC00507_CTXN3	Exc_L3_5_THEMIS_ELOF1	Inh_L6_LHX6_GLP1R	Inh_L1_LAMP5_GGT8P	GABA2	Inh_L5_6_SST_KLHL14	Oligo_L4_6_OPALIN	Exc_L5_FEZF2_SCN7A	Inh_L5_6_PVALB_STON2	Exc_L4_RORB_BHLHE22	Inh_L1_2_VIP_RPL41P3	Exc_L5_6_THEMIS_TMEM233	Inh_L2_4_PVALB_C8orf4	Exc_L6_FEZF2_ETV4	K2	Inh_L1_LAMP5_NDNF	Exc_L5_6_FEZF2_MYBPHL	Inh_L2_5_VIP_TOX2	Exc_L6_FEZF2_SLITRK6	Inh_L4_5_PVALB_TRIM67	Exc_L4_5_RORB_LINC01474	Exc_L3_5_RORB_HSPB3	Inh_L6_SST_NPY	Inh_L1_2_PVALB_TAC1	Exc_L5_6_FEZF2_CABP7	Inh_L2_4_VIP_DSEL	Exc_L3_4_RORB_RPS3P6	Exc_L5_RORB_SNHG7	Inh_L1_3_VIP_GGH	Micro_L1_6_C1QC	Inh_L1_PAX6_GRIP2	Inh_L1_6_VIP_PENK	Exc_L3_5_RORB_CD24	Exc_L3_4_RORB_PRSS12	Inh_L2_4_SST_AHR	Exc_L3_RORB_CARTPT	Exc_L3_4_RORB_SEMA6D	Astro	Inh_L1_3_PVALB_WFDC2	Astro_L1_FGFR3_MT1G	Micro	Peri_L1_6_MUSTN1	Exc_L4_5_RORB_ASCL1	Exc_L5_6_FEZF2_ANKRD20A1	Inh_L2_6_VIP_VIP	Inh_L3_6_PVALB_MFI2	Inh_L1_VIP_PRSS8	Exc_L4_RORB_CCDC168	Inh_L1_ADARB2_ADAM33	OPC	OPC_L1_6_MYT1	Exc_L6_FEZF2_TBC1D26	Exc_L3_LINC00507_PSRC1	Exc_L5_FEZF2_MORN2	Inh_L3_6_VIP_KCTD13	Endo_L2_5_CLDN5	Inh_L1_3_VIP_ACHE	Oligo	Inh_L5_6_PVALB_FAM150B	Exc_L3_5_FEZF2_DCN	Inh_L1_PAX6_CA4	Exc_L6_FEZF2_KRT17	Exc_L5_RORB_LINC01202	Inh_L6_LAMP5_ANKRD20A11P	Exc_L3_5_RORB_CMAHP	Inh_L1_5_VIP_KCNJ2	Exc_L5_FEZF2_DYRK2	Inh_L1_ADARB2_DISP2	GABA1	Exc_L5_6_THEMIS_OR1J1
AAK1	323.8305	373.26	161.8876	242.3299	407.0758	284.4782	300.4116	399.2824	368.8126	324.1992	188.2303	300.7638	453.1233	340.9457	53.2099	260.8429	491.26	404.3467	321.4774	269.3816	304.8091	282.4245	45.7357	248.3348	474.7877	259.7871	32.5807	338.3256	189.7091	198.5116	298.3374	264.5656	503.1419	258.7739	286.8254	249.74599999999998	233.325	480.6811	258.4806	644.658	54.9549	574.9853	421.2123	437.3192	296.8353	324.2367	437.8316	643.9846	168.7213	248.054	232.7953	240.6983	327.3742	437.1665	189.0758	251.7325	206.9792	340.265	185.8619	366.2932	441.3716	439.5883	309.8931	198.2507	495.4148	444.4213	48.6743	630.638	552.4895	241.5296	272.8949	287.0179	469.5611	351.2931	501.9432	210.6523	216.5994	201.5476	311.5701	534.9929	280.797	315.6963	409.5823	367.5258	466.1997	191.1521	349.2375	398.5005	134.9861	58.636	232.9632	357.6782	278.3025	368.9609	496.1849	408.9671	336.9283	67.0703	407.3718	45.1013	41.6204	102.2823	280.5375	468.0236	173.5796	266.2752	194.262	293.9003	156.909	98.2983	54.4239	271.1785	355.9276	433.8361	154.0543	62.1926	317.214	89.4406	334.4002	471.9604	195.7408	260.2061	295.6767	172.3478	230.364	237.657	279.8899	363.1627	290.0615	345.491
AARS	110.2165	55.268	98.5813	92.4532	82.819	82.6644	93.0056	83.6012	79.8024	48.7366	75.1731	105.4631	99.5719	80.295	57.5623	77.4698	80.8489	96.2274	82.959	127.9959	101.7358	96.4394	104.4275	109.9954	110.0393	81.9978	18.616	91.6058	88.2685	87.3249	118.477	94.1985	73.2581	114.1847	99.6509	71.0693	98.9554	79.8318	82.7503	84.5782	106.1309	66.9127	101.984	84.9091	87.9733	108.0954	97.6077	93.7468	87.8612	99.6011	96.4508	108.0804	80.766	112.6098	100.6434	82.5467	116.0376	125.7301	164.0626	123.0133	91.9614	116.9857	129.2275	66.6902	94.8117	94.3866	104.8079	82.4084	90.3968	94.4896	108.2031	77.3606	108.1585	86.2325	47.9702	92.7823	106.603	90.069	86.1134	105.35700000000001	92.6104	79.7425	47.3671	93.3175	144.8698	128.10299999999998	124.5579	84.6486	101.0935	85.0648	101.4171	93.4944	81.7764	78.1831	87.9931	66.7672	83.9276	61.4362	114.2856	80.0922	43.6603	143.3914	124.3488	76.6355	81.0429	134.6701	99.2187	105.2991	100.7298	86.2497	71.87899999999999	62.8907	75.1624	75.6686	83.7777	0.0	107.5751	81.7618	103.1529	98.5293	109.8824	73.181	86.4606	124.9855	104.4161	93.044	105.7726	35.9472	140.5117	124.0755
AASDHPPT	199.1101	126.4433	120.6621	117.8312	115.0358	148.3422	128.7044	132.4536	125.6633	156.717	140.366	196.2221	125.6092	122.7877	142.1407	141.8675	143.433	153.6063	126.9479	175.6953	153.9092	172.18400000000003	86.1798	153.0391	160.7201	130.018	0.2543	160.9878	128.8106	162.715	208.3769	140.64	108.2819	175.3706	136.7107	140.0758	152.6511	144.6667	139.3418	165.4352	99.8232	132.8548	143.7785	127.757	153.0447	150.1641	152.7048	126.4836	134.1038	136.4144	161.3519	147.6125	134.6981	126.5181	180.8636	82.1118	147.1517	163.1087	208.896	176.8406	157.5418	152.6488	146.3161	139.085	132.255	158.9984	128.5812	130.1438	116.9254	156.312	160.0574	133.6817	137.9935	147.5207	101.5564	155.0091	137.0778	157.8794	175.07299999999998	137.2758	155.6516	134.8567	177.2141	118.8642	131.02	131.1748	150.8597	133.6349	145.4746	96.3663	187.1528	179.3692	148.2118	145.9201	150.5687	120.7502	126.0994	43.2492	140.8192	187.9404	138.5638	162.0359	147.2701	134.6304	167.625	199.5028	170.8225	169.7015	146.8379	246.4122	113.6025	157.3077	130.5253	130.232	134.7443	0.6274	139.69299999999998	137.7751	156.2013	152.1757	139.6116	149.986	134.1352	65.0012	156.7242	154.6979	184.3203	174.1493	242.8047	137.985
ABCB1	7.4304	9.743	4.52	2.2165	49.8174	6.4106	28.1499	14.8846	4.7566	15.5257	8.1964	7.2405	6.3581	6.6783	0.0	5.54	3.9539999999999997	3.9943	45.9369	4.3421	8.823	51.5925	0.0	3.8269	7.0869	8.6913	122.2642	10.2565	12.4898	9.1743	5.6107	10.1059	8.5912	4.8282	8.7711	7.9768	6.7707	7.5163	26.4691	14.8853	72.137	7.2854	5.44	12.1509	7.1496	6.9722	3.5955	26.2113	6.7988	8.2573	12.6426	4.4613	5.7673	5.6629	7.9401	41.928999999999995	8.7943	4.8846	0.0	3.7904	13.1879	4.6518	9.793	0.0	7.1692	4.5137	4.5141	19.5148	6.664	6.2037	4.569	40.5865	5.257000000000001	6.006	10.3555	10.8051	4.6575	10.2469	31.2419	3.9592	6.2982	4.3077	16.2371	11.9647	44.4842	7.2823	5.355	5.1464	3.0961	0.0	4.2614	6.4736	3.6013	6.7644	8.2804	4.7412	6.5061	7.4758	3.503	0.0	0.0	51.2211	4.8816	42.5898	5.7607	7.4475	9.3694	7.4119	9.2939	0.0	0.6176	13.1969	13.2637	35.6827	48.096000000000004	220.5891	3.5299	14.738	8.1393	4.9561	11.7718	15.1109	5.4346	0.0	5.4187	17.5927	0.0	3.2338	0.7779	13.6355
ABCB8	49.5346	45.3934	56.7238	37.3957	52.8666	54.261	66.4222	66.0624	56.2504	64.4777	37.201	50.2945	59.3097	55.0985	78.7062	55.6521	59.4156	74.2681	52.5056	70.7224	56.2938	47.5659	142.9225	75.3873	61.422	41.0302	9.9598	52.3018	58.85	51.4672	40.3619	46.541000000000004	49.8777	61.7449	61.6016	73.3775	34.2874	38.1271	53.2903	43.0578	49.4446	47.2771	68.3649	50.403999999999996	57.4599	33.5069	56.5641	49.3029	62.7654	54.4949	26.9412	67.4077	49.638999999999996	25.0934	54.5107	76.3171	34.5772	66.0506	30.9334	49.0891	55.3047	41.9794	64.2893	66.9767	43.3173	75.8665	63.126999999999995	42.4287	56.8134	50.4855	44.026	54.0304	67.8133	49.619	55.9815	59.0607	56.4632	81.9524	66.7149	91.8772	61.96	46.5797	34.0169	63.9516	64.9073	74.9367	50.8326	46.4874	54.6631	52.7057	77.8591	80.2719	71.158	55.2214	57.7939	54.1544	58.1486	108.5362	55.0654	39.8022	218.826	17.6393	48.6381	67.4872	56.1459	97.5136	63.0484	45.8144	68.8297	6.496	92.29299999999999	50.0665	43.1492	48.042	50.1348	168.4178	83.9822	46.5684	36.1189	39.1011	57.8291	46.1685	62.3879	214.0899	68.5995	64.7648	56.817	83.6249	14.1867	51.3221
ABCD1	62.9679	16.6944	0.0	0.0	30.329	14.6704	6.7475	26.0309	21.6444	11.9904	0.0	10.2285	68.4526	39.8208	8.5533	10.5757	2.9465	0.0	15.5754	16.9941	15.4299	16.6219	40.3849	52.5802	21.644000000000002	16.5522	5.4577	16.2647	18.7617	25.5907	19.9553	13.7779	28.3602	6.5579	8.3601	0.0	56.8269	6.437	24.3569	19.3741	23.7886	18.776	17.0824	17.1463	29.0751	0.7342	6.4629	0.0	18.0442	0.0	63.2893	61.4482	19.0706	1.129	13.5822	0.0	0.0	0.0	0.0	10.3768	20.8147	3.8347	0.0	0.0	12.8584	18.5084	9.0171	0.0	35.5251	43.5023	25.0943	31.0288	23.1685	0.0	0.0	10.2269	49.1209	29.2813	30.5216	7.9878	13.7369	32.2658	65.7354	3.1312	0.0	0.0	22.1079	18.7626	39.0235	31.2736	0.0	0.0	8.079	13.5152	32.3078	10.3511	16.1083	78.8087	22.3602	18.9178	2.3255	0.0	18.2138	7.4298	3.4586	46.8573	30.0254	25.6637	16.2945	0.0	5.1861	0.0	9.3684	8.9541	6.4134	23.9229	24.855999999999998	15.9166	44.4016	0.0	0.0	15.1979	28.4946	0.0	30.0014	0.0	0.0	0.0	0.0	0.0
ABCD3	63.7382	38.2867	139.0969	96.4376	67.695	81.0013	65.9582	68.5326	78.9803	65.2445	99.1439	70.1483	71.1478	85.8695	152.7745	123.6057	90.2661	155.3599	83.3614	74.7497	73.6967	90.0333	176.2599	89.7883	111.6887	84.5965	42.3895	84.5524	73.8005	97.4485	82.3423	102.2354	71.5187	145.7706	94.5455	95.4734	85.5308	81.7345	73.7679	79.5886	90.9041	88.7763	87.5594	67.8425	89.8727	150.3248	96.4888	94.7434	81.2838	108.2692	91.5259	89.5152	76.2253	53.7616	66.6061	101.7176	109.9542	75.6531	106.5114	120.7693	73.6988	95.2209	103.1026	112.8841	82.1457	86.667	114.6415	74.9038	88.9569	94.7073	78.8047	84.7432	105.6282	99.397	90.1781	97.5874	81.6685	98.8353	97.8976	72.32	79.3942	77.4006	49.2357	184.0553	65.8379	101.3487	76.5132	69.4843	98.3513	137.4019	38.67	97.5009	90.9391	80.548	90.2003	76.5297	88.7619	187.8531	100.4007	88.4927	0.0	0.6635	103.169	76.5444	86.54799999999999	153.9018	89.5537	109.8766	84.8962	249.4523	127.3427	78.5249	57.7111	68.1524	79.5235	5.4851	126.5605	176.497	81.9966	64.891	101.0635	94.9282	73.3604	11.0588	82.0505	119.9074	145.6204	24.65	84.4107	118.6918
ABCF3	39.8165	55.5049	41.6073	44.6019	46.9129	50.9127	49.0464	48.7002	45.6746	34.1635	47.8478	40.0203	52.7967	55.7554	65.8743	57.6919	57.4635	46.8252	50.4391	70.5883	45.5498	52.1248	44.3952	34.4981	75.0029	53.9938	50.0808	48.8332	41.4811	54.0501	42.8685	40.8556	47.8984	62.1083	60.0534	94.3823	69.9365	42.5666	53.3546	69.9839	53.8838	51.3533	65.7231	43.2473	55.9104	52.2744	60.0723	66.7294	66.1356	75.1305	35.6573	48.518	45.383	24.2849	76.3024	20.4775	105.0978	49.0283	56.1535	66.8281	58.9674	63.9777	84.6974	61.3256	45.3272	61.3457	74.8331	64.1063	66.1185	45.4521	53.6611	53.8222	72.2608	41.1843	44.7667	50.6455	50.3094	53.25	40.9443	51.7515	51.5904	70.4521	22.1515	46.0926	53.2045	67.2461	41.5248	48.4949	82.5701	30.5658	39.442	86.5796	32.5887	46.828	72.6446	51.3265	52.3253	57.176	75.7508	7.5382	0.0	0.0	39.6444	57.4094	62.6751	126.3813	54.75	39.9613	58.1716	23.1771	59.105	33.9313	61.0586	86.603	67.8863	141.4944	57.9952	35.7618	74.7032	118.3401	52.0182	43.0244	52.2152	91.9552	42.4162	57.1583	80.317	73.2179	38.8151	35.8932
ABHD14B	40.2585	28.1652	20.68	17.7543	33.4006	29.1925	21.1686	32.2706	31.101999999999997	17.2779	36.8265	27.9222	47.1099	44.2736	75.6092	5.1727	34.208	6.4026	37.2781	51.6265	31.5181	17.2471	39.0508	22.7642	29.7646	34.0196	0.0	35.6562	28.5295	44.3005	34.2065	33.9174	33.9907	50.3166	42.1272	71.1567	22.1685	18.9708	35.4891	41.5409	39.1379	27.6233	39.4127	36.3878	37.018	9.7104	18.1072	34.0872	34.1567	21.9355	37.5566	26.2604	30.2846	35.6917	46.818000000000005	62.5568	3.1086	11.4895	31.8416	62.3929	32.6819	21.0269	30.5602	62.7494	40.9058	46.1807	48.4672	31.4186	30.9493	26.9808	39.4661	31.6544	29.2186	31.6262	12.0165	23.4713	31.1567	28.4333	34.4449	37.4686	37.582	28.5394	24.2623	3.4388	24.9836	13.2219	31.956999999999997	34.8672	25.0235	58.0125	24.5104	30.7646	26.6688	31.7869	28.186999999999998	31.7657	33.7948	53.3997	36.8347	50.9106	0.0	90.5452	31.8022	29.6345	11.4578	56.6018	38.4068	32.1829	51.233000000000004	18.3954	33.6067	24.1678	33.7815	18.0413	11.7642	1.2769	25.4835	43.7706	39.8763	21.9028	25.2759	24.342	37.8708	0.0	33.2552	14.4346	23.8374	0.5845	1.0275	22.2576
ABI1	85.098	53.5173	53.5606	72.7774	34.0544	44.7089	35.7961	59.5365	38.3079	71.7866	47.8742	46.0377	44.1989	47.423	20.5613	66.7938	40.0818	49.5392	43.3616	47.5753	39.173	37.7832	65.6393	52.8861	47.8876	40.663000000000004	0.0	45.1093	41.7452	64.007	27.1207	47.1312	48.3457	60.5477	67.0907	38.4916	46.0533	51.4341	47.0781	27.0276	57.4944	28.823	49.2921	34.4208	59.7867	76.0808	76.0384	31.7279	52.9423	64.7689	13.7065	98.0108	42.745	47.0649	53.2261	48.1559	59.0244	34.8454	56.3621	66.3522	47.9976	43.0202	68.0997	89.8952	40.5231	41.9166	50.903	56.2898	46.2164	47.4931	43.7374	52.88399999999999	52.2552	33.3346	25.3041	85.7759	47.0385	53.3001	37.8092	52.2155	41.027	44.592	48.8567	63.1659	40.3605	62.393	43.0672	44.3268	73.8976	69.8666	49.8131	51.3112	39.5667	41.4979	56.77	43.8672	46.986000000000004	77.6678	48.21	72.4175	17.6889	0.0	41.8867	42.9537	57.045	75.7801	70.4453	45.4233	43.9871	16.7505	51.8637	29.1497	52.075	47.9214	73.5738	31.4176	57.0815	78.7969	63.8853	55.8294	69.5216	41.5893	38.2002	136.9275	40.5198	54.6639	28.4235	59.0511	90.7822	56.2603
ABI2	154.1158	252.8769	91.1939	74.2913	200.8935	189.4657	280.4452	105.2886	218.5133	145.8775	178.7027	213.2079	106.5776	201.02900000000002	112.9995	137.2979	164.0814	154.1714	201.7833	146.4656	170.118	217.9787	102.5598	166.3997	145.4306	213.1195	62.0043	204.3262	188.2356	103.6459	177.9097	159.2213	265.9899	120.4321	102.4294	111.4504	171.8447	226.9245	210.7159	208.7135	97.6993	132.6779	120.8822	190.873	106.8938	132.8143	139.7001	284.7233	108.6018	117.7114	181.0068	104.598	244.9216	171.8419	95.9319	176.5476	104.9313	121.6185	143.8952	117.7902	232.4115	185.6044	117.7627	88.0437	151.2796	181.7297	103.3465	215.9319	133.338	171.6726	149.9173	196.3366	135.2628	251.87900000000002	163.4733	105.7004	143.1424	108.4778	200.9022	164.9152	157.3462	208.5236	146.6633	129.3239	127.5812	135.4204	184.8661	251.2708	114.0402	107.6384	91.9903	136.4864	176.8355	207.9385	127.8772	255.4746	190.5231	200.1283	154.2839	117.2097	142.6646	66.3749	163.2483	191.9721	141.482	118.1834	158.6023	168.0355	106.6653	176.1121	120.802	224.4398	261.3137	279.4519	117.8394	93.6428	115.5463	116.7457	119.7617	243.5894	107.5747	298.7297	162.9811	218.4146	148.8206	114.4459	164.7702	118.6657	110.666	217.817
ABLIM1	128.3505	116.8171	114.1158	84.9835	123.1134	87.9932	149.5577	159.3097	79.8785	131.8348	213.7504	110.6394	172.2525	88.4257	38.7767	118.3062	156.239	137.0317	154.2019	194.033	94.189	72.8319	141.1212	65.1145	169.2028	123.2693	529.5032	122.8728	117.1966	192.9114	97.2585	74.4238	156.3455	152.0589	164.9455	125.2397	255.49400000000003	113.8436	146.251	240.2983	147.3553	263.9001	178.9586	237.6035	141.8903	124.0329	130.8326	196.7272	129.898	112.4416	130.4643	114.32	124.6751	161.2883	93.1841	74.9606	106.36399999999999	100.12700000000001	199.2506	206.9724	194.3292	119.9516	178.4133	130.664	208.4724	175.3275	23.3158	193.6694	180.199	91.5498	133.6564	152.7402	159.2266	128.4905	176.4248	97.4986	222.6328	155.7766	93.2909	135.5483	84.9084	90.8707	140.4465	100.8978	280.9918	200.601	137.55700000000002	78.6342	91.0681	15.2444	197.666	196.3014	74.4808	97.738	184.6216	103.5157	93.4386	120.6504	150.2057	204.4254	0.0	128.8769	103.3006	199.6062	105.8355	145.2603	105.5999	102.4424	137.1206	95.4606	70.0566	86.3388	102.5988	124.1992	127.5322	134.4005	178.62599999999998	81.7063	205.9608	161.9055	156.2338	74.3529	75.062	8.8418	69.0535	184.7764	221.77900000000002	130.4882	131.3235	97.126
ABLIM2	52.1225	44.5114	41.2088	5.6066	43.1177	46.6882	67.4038	42.7295	46.3401	42.8681	61.211000000000006	51.0948	44.8774	45.6225	69.7487	59.2894	61.3286	55.6719	51.1861	54.9586	46.0505	37.3206	15.7262	34.5333	39.6781	56.3275	0.0	50.7516	54.4331	52.4614	58.7219	40.1742	51.5292	29.8574	38.269	47.8315	44.4525	43.9206	58.2058	60.5574	82.3679	62.0865	56.0617	45.6766	51.9797	57.4886	47.0816	41.8125	49.2914	57.9915	66.0054	47.3824	48.3073	31.4203	70.0103	39.6362	46.6724	52.512	14.9539	47.7464	50.5637	48.0639	38.6384	57.6976	35.0383	38.7904	51.9739	44.1287	43.3656	49.1792	90.0174	42.6227	42.0518	53.7885	46.132	40.7086	51.0878	57.6429	42.0774	41.9493	50.5388	62.5062	55.8494	56.1797	70.9137	65.125	55.8227	42.8003	29.7363	40.6053	68.3338	84.62	52.2873	48.9896	49.5546	58.3768	53.2133	24.8136	47.378	21.6082	27.2013	0.0	35.0654	42.1748	44.7543	36.3983	65.9526	43.5804	56.1239	130.0352	46.9591	37.8209	52.9901	29.1791	34.1216	67.9511	51.0394	21.8204	40.6505	66.5165	40.1882	38.7974	54.0115	22.6404	52.6521	61.8568	54.9238	15.8948	23.4267	62.6092
ABLIM3	45.3051	25.7416	43.8535	71.6789	50.1815	37.939	29.0146	48.0965	33.7217	29.0334	57.0138	30.4868	41.9446	38.4187	47.6433	34.7146	33.4693	19.8924	43.1945	31.2439	37.554	39.147	70.7328	32.9877	46.2318	38.9338	0.0	37.4949	43.9866	29.7897	28.4634	50.9099	30.1752	42.5335	38.3385	47.8143	57.3374	30.906999999999996	33.9418	41.5758	43.3664	32.3594	46.6403	40.0458	34.0318	47.0601	46.0123	20.5748	46.6272	38.0673	54.0126	43.2324	33.8505	19.0984	37.6813	62.2172	45.7912	53.1917	18.0485	62.6635	41.4507	13.6262	36.3994	33.101	38.7862	46.7466	39.7351	26.9218	41.4329	34.6197	31.2901	28.0132	37.9062	51.973	74.148	32.830999999999996	57.6664	56.5753	53.7507	44.3185	32.2419	37.6094	39.8918	30.2418	72.8708	29.1614	19.7932	31.3309	34.2241	7.6564	53.8998	53.0351	36.7385	34.8831	58.3646	37.3432	37.9392	74.0164	30.739	64.0023	0.0	0.1838	52.8404	41.3955	41.4807	59.3194	48.4538	42.4788	61.6546	49.8651	54.3018	53.0399	34.5635	44.9663	52.7103	82.8404	61.2845	26.3601	42.2207	35.364000000000004	46.6487	37.9204	33.7649	23.0129	43.5908	48.5309	88.0999	64.525	45.6925	37.3244
ABR	63.4398	51.2152	69.1158	78.6056	63.8713	67.4526	67.1533	63.8829	57.4083	91.3351	56.9658	77.2405	69.4069	55.1549	34.7567	43.7618	52.3628	83.8808	60.2159	89.1726	66.0749	57.7745	97.2472	83.67299999999999	61.3372	52.3222	0.0	63.6963	49.5324	59.7579	68.6352	70.9264	59.2738	53.9268	59.6968	100.4993	58.896	52.913999999999994	62.157	67.4897	83.0249	57.8553	58.6978	69.5575	59.4499	53.0777	79.0164	55.3931	52.1519	82.7788	56.2697	59.927	63.5414	38.673	43.8039	61.3193	48.496	57.1794	38.0193	71.3703	56.0949	56.7764	56.1821	80.5426	51.9835	69.445	27.2811	86.1415	58.0485	84.6466	70.4234	61.6377	55.5801	78.8468	86.1195	78.3688	63.757	44.3346	80.5104	72.0524	69.4892	50.2187	87.4815	62.3911	69.4923	64.8508	77.7273	62.393	65.405	81.8737	83.7344	53.7736	58.1078	60.5793	75.0024	59.9976	58.0316	93.7574	71.8239	74.005	37.466	149.4333	67.6728	57.1588	50.0906	60.8777	80.9655	70.3304	65.0901	28.1903	63.2616	55.2869	61.6998	59.3382	54.563	131.7145	65.5623	24.8422	44.4703	52.6415	71.5146	56.5666	61.3801	79.9858	59.229	54.4539	60.3105	73.1518	75.6736	70.5102
ACAA1	153.2109	116.4002	101.3519	247.9116	105.3881	107.34899999999999	115.7206	104.1175	113.8656	82.3878	147.3124	79.9796	115.8676	125.21	101.6308	105.7688	158.2667	102.1616	116.671	110.0989	101.9435	93.8067	186.6267	136.2876	127.2335	106.7584	38.4001	111.9949	103.9095	127.4586	102.9144	120.3353	124.5207	127.8799	131.9003	79.9909	121.7829	109.2485	112.3623	129.5723	130.3614	183.7579	126.9969	99.0326	127.7413	103.9461	116.3809	177.7894	110.8417	115.3371	144.9254	103.8017	102.3798	135.7684	131.3607	167.5242	134.4751	98.2869	85.2081	86.3054	114.8341	112.1443	91.7417	149.7798	125.8642	105.5953	132.2654	129.34799999999998	139.5333	99.7717	105.3368	102.1778	132.1088	112.17200000000001	146.8315	110.1478	133.1254	102.4823	111.9788	100.1828	112.0675	118.1699	64.7836	81.6984	104.0461	106.1761	131.8327	111.0448	146.0938	134.0409	124.5365	120.956	123.5918	116.5472	144.9396	113.4571	118.4026	156.387	123.8882	141.904	140.4388	106.8366	119.0844	131.2934	115.5618	105.3918	112.4402	86.3059	112.7775	179.6698	103.61200000000001	110.1487	126.6252	142.3899	105.0565	142.5803	110.1216	124.9025	115.9084	162.0957	99.6538	101.3195	121.6192	34.0713	103.5026	125.9471	103.9765	163.6566	61.7361	133.8273
ACACA	63.0717	128.1391	59.5341	64.0207	95.1659	69.5937	111.1083	76.0997	88.3978	86.2373	85.6038	75.98	73.9164	67.6801	64.3388	99.9678	91.8189	72.3369	79.9925	87.9545	72.2183	85.0675	96.0892	56.1231	75.9321	89.6957	0.5213	77.2602	84.1217	67.9019	61.6697	70.5603	122.3313	60.9975	62.4808	114.8647	90.5001	105.9986	85.5188	98.0451	76.6544	109.9637	64.6453	93.2693	55.6482	77.4369	78.2553	108.4134	86.2111	100.2581	105.4035	64.542	95.0834	103.7589	77.1421	67.5436	67.3813	110.4717	133.6789	143.0411	100.1031	88.7599	94.8666	62.5569	64.1633	83.2996	66.7429	108.0444	69.7652	57.1411	82.1749	84.4968	66.8428	84.2241	72.6216	78.6482	91.3985	75.3298	73.2061	65.0526	52.89	91.4356	121.3402	80.3956	97.1357	86.4763	78.4062	117.5792	72.5968	40.2192	53.5396	86.117	105.8359	88.7469	89.8483	127.869	89.3267	115.473	76.4888	125.8835	66.1498	174.5979	66.3672	87.9596	90.7195	71.6398	74.4113	55.8299	61.3307	93.3124	77.7097	79.3968	99.0871	125.2084	97.7835	54.3034	107.7905	98.5736	71.6274	124.5504	70.3437	71.4009	74.8959	22.1904	71.2043	82.3947	113.8459	93.5833	48.9322	80.7063
